USA_Slope,HeatLoad,Cons_LITH,Rad_sm,B_TD,MCMT,MAP,PRATIO,DEP2RES,aws0_100,soc0_5,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP,W_ShadeTol,W_DroughtTol
12.0,1047.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1078.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1083.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
3.0,1076.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
3.0,1073.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1057.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1051.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1060.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1056.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1054.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1050.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
